Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
79	0.24561404	0.43045068	1.0	0.0	8.754386	0.29757354	0.00030370333	0.29768303	0.29672638	80000	0.09076762	0.16578442	-0.027721308	-0.006878376	0.5385745	0.06691474	0.0	12.0	92.91747903823853
80	0.27192983	0.4449539	1.0	0.0	8.72807	0.21585517	0.00029332086	0.21596088	0.21503821	81000	-0.023932487	0.17079166	-0.0019490831	-0.00049205124	0.6448834	-0.12263464	0.0	79.0	94.94317102432251
81	0.21238938	0.40899897	1.0	0.0	8.787611	0.23773813	0.00029251847	0.23784307	0.23691964	82000	0.039650023	0.14443915	-5.2966177e-05	-0.0027751327	0.8380749	0.15676102	0.582	0.0	96.19608807563782
82	0.22807017	0.4195881	1.0	0.0	8.77193	0.18572526	0.00028911905	0.18582897	0.18491597	83000	-0.011693356	0.15083954	-0.0054508774	-0.00016973913	0.56753904	0.020539487	0.0	17.0	97.4041817188263
83	0.28947368	0.45351818	1.0	0.0	8.710526	0.19862841	0.00029026464	0.19873305	0.19781975	84000	-0.050762717	0.18032566	-0.010105345	-0.0030246824	0.7025251	-0.17232543	0.0	79.0	98.74160265922546
84	0.20353982	0.40263054	1.0	0.0	8.79646	0.25325176	0.00028851468	0.25335523	0.25244474	85000	0.084673144	0.1429342	-0.026609402	-0.0057717413	0.520979	0.042690743	0.383	12.0	99.82874035835266
85	0.22807017	0.4195881	1.0	0.0	8.77193	0.17805597	0.00028063494	0.17815663	0.17727011	86000	-0.01996318	0.15109836	0.00044749118	-0.0004284829	0.70931494	0.038807474	0.0	0.0	101.05263495445251
86	0.28070176	0.44934204	1.0	0.0	8.719298	0.19861108	0.00028312788	0.19871317	0.19782199	87000	-0.046168122	0.17609093	-0.005136665	-0.0022261888	0.6557608	-0.14223517	0.0	79.0	102.38213610649109
87	0.20353982	0.40263057	1.0	0.0	8.79646	0.24564563	0.00028218012	0.24574684	0.24485539	88000	0.0741471	0.14183636	-0.019466933	-0.0046801865	0.55026644	0.037432924	0.0	11.0	103.58131122589111
88	0.27192983	0.4449539	1.0	0.0	8.72807	0.17761819	0.0002782294	0.17771849	0.17684267	89000	-0.057439353	0.17394581	-0.008045908	-0.003628835	0.66854817	-0.15877219	0.477	79.0	105.15991020202637
89	0.24561404	0.43045068	1.0	0.0	8.754386	0.23751317	0.00027890338	0.23761374	0.23673679	90000	0.020503031	0.15942149	-3.3620745e-06	-0.0005288124	0.8831618	0.20272487	0.58	0.0	106.26929783821106
90	0.28947368	0.45351818	1.0	0.0	8.710526	0.21455349	0.00027811952	0.21465376	0.21377899	91000	-0.03250627	0.17882425	-0.010739211	-0.0015348792	0.5335781	0.037951812	0.0	20.0	108.1470775604248
91	0.28070176	0.44934207	1.0	0.0	8.719298	0.25384974	0.0002782702	0.25395	0.25307447	92000	0.0050847386	0.17390695	0.00017740438	-5.993247e-05	0.67158276	-0.056269135	0.0	79.0	109.40160799026489
92	0.24561404	0.43045068	1.0	0.0	8.754386	0.24605574	0.0002778895	0.24615589	0.2452809	93000	0.027454833	0.15988709	-0.0020899344	-0.0009933859	0.6372891	0.024198048	0.0	16.0	110.4883553981781
93	0.25438598	0.43551555	1.0	0.0	8.745614	0.2141637	0.00027729027	0.21426365	0.21339124	94000	-0.0096014375	0.16288458	-0.0013917601	-6.636977e-05	0.6703604	-0.15744522	0.0	79.0	111.71271347999573
94	0.15929204	0.3659482	1.0	0.0	8.840708	0.22245014	0.0002753337	0.2225484	0.22167574	95000	0.092640914	0.11988839	-0.024426147	-0.0071666166	0.53499734	0.04724172	0.0	12.0	112.80020332336426
95	0.25438598	0.43551555	1.0	0.0	8.745614	0.13698636	0.00027722432	0.13708629	0.13621426	96000	-0.07579494	0.1700859	0.0015424117	-0.0072449	0.7244905	0.052478302	0.0	0.0	113.82938766479492
96	0.25438598	0.43551555	1.0	0.0	8.745614	0.22225429	0.00027694833	0.2223541	0.22148207	97000	-0.0024774638	0.16281793	4.5709778e-05	-1.1920929e-07	0.74504983	0.072789066	0.0	0.0	115.03151321411133
97	0.37391305	0.48384097	1.0	0.0	8.626087	0.22236945	0.00027822322	0.22247021	0.22159818	98000	-0.10730119	0.21735135	-0.0050326735	-0.011686981	0.62726766	-0.10989093	0.467	79.0	116.44794917106628
98	0.17699115	0.38166118	1.0	0.0	8.823009	0.32982612	0.00027599515	0.32992515	0.32905313	99000	0.13921708	0.15390761	-2.9698014e-05	-0.03097061	0.819383	0.12595765	0.525	0.0	117.56495571136475
99	0.23684211	0.4251446	1.0	0.0	8.763158	0.15514721	0.00027590484	0.15524618	0.15437415	100000	-0.043960985	0.15748852	-0.0002301149	-0.0026427954	0.8202319	0.13646139	0.579	0.0	118.65024185180664
100	0.3043478	0.4601307	1.0	0.0	8.695652	0.2061102	0.00027704035	0.20621005	0.20533802	101000	-0.06172296	0.18817814	-0.0026317723	-0.0037795156	0.5822991	-0.050799806	0.435	79.0	120.69343137741089
101	0.32173914	0.46714348	1.0	0.0	8.678261	0.2670001	0.00027812942	0.26710093	0.2662289	102000	-0.015731126	0.19071633	2.5810674e-05	-0.00026927888	0.7560614	0.06330048	0.0	0.0	121.78613805770874
102	0.32173914	0.46714348	1.0	0.0	8.678261	0.2832014	0.00027807459	0.28330213	0.2824301	103000	-0.0032121802	0.19044629	4.418893e-06	-2.9802322e-08	0.75770366	0.067482755	0.0	0.0	122.98362803459167
103	0.32173914	0.46714348	1.0	0.0	8.678261	0.28344	0.00027803803	0.28354073	0.2826687	104000	-0.0033723684	0.1904463	3.8088765e-06	2.2351742e-07	0.75907934	0.07077117	0.0	0.0	124.11396980285645
104	0.2982456	0.45748788	1.0	0.0	8.701755	0.28344488	0.00027701986	0.28354472	0.2826727	105000	0.014931723	0.18102975	-2.2432767e-05	-0.0004554391	0.76020926	0.0715254	0.0	0.0	125.21281170845032
105	0.27192983	0.44495392	1.0	0.0	8.72807	0.26236182	0.00027718506	0.26246175	0.26158974	106000	0.01972978	0.17087705	-0.0016348176	-0.000580281	0.62898296	0.025306558	0.0	26.0	126.43642568588257
106	0.2631579	0.44034737	1.0	0.0	8.736842	0.23845443	0.00027705875	0.23855434	0.23768231	107000	0.005182827	0.16668567	-2.5218353e-05	-6.67423e-05	0.7154784	0.027539259	0.0	0.0	127.53794860839844
107	0.3043478	0.4601307	1.0	0.0	8.695652	0.23028995	0.00027696672	0.23038976	0.22951773	108000	-0.034483574	0.1857898	0.0001141876	-0.0013914257	0.72035575	0.029736256	0.0	0.0	128.68981504440308
108	0.3043478	0.4601307	1.0	0.0	8.695652	0.2676683	0.0002772034	0.26776823	0.26689622	109000	-0.0021661322	0.18439838	6.3318294e-06	1.4901161e-07	0.7236725	0.033237465	0.0	0.0	129.77865195274353
109	0.28070176	0.44934204	1.0	0.0	8.719298	0.2675956	0.00027718506	0.26769555	0.26682353	110000	0.016205838	0.17430596	-5.104579e-05	-0.0004581362	0.7265973	0.037906975	0.0	0.0	130.83349418640137
110	0.22123894	0.415081	1.0	0.0	8.778761	0.24593458	0.00027620068	0.24603364	0.24516161	111000	0.046623316	0.14886	-0.0028850473	-0.0028027147	0.65783495	0.030793697	0.0	12.0	132.61319732666016
111	0.22123894	0.41508096	1.0	0.0	8.778761	0.19232132	0.0002760343	0.19242033	0.1915483	112000	-0.0021260504	0.1460431	-0.0002491672	1.7881393e-07	0.6653755	-0.13808757	0.0	79.0	133.81853914260864
112	0.24561404	0.43045068	1.0	0.0	8.754386	0.192582	0.00027702193	0.1926819	0.19180986	113000	-0.017382795	0.15937085	-0.007137675	-0.0004773289	0.55455226	0.030217966	0.0	17.0	134.9123215675354
113	0.2631579	0.44034737	1.0	0.0	8.736842	0.21474768	0.00027707714	0.21484753	0.2139755	114000	-0.016253363	0.16685902	-0.002445398	-0.00023840368	0.6725558	-0.16004965	0.0	79.0	136.12939524650574
114	0.2631579	0.44034737	1.0	0.0	8.736842	0.23036756	0.0002775	0.2304676	0.22959557	115000	0.0024142896	0.1666189	-9.756442e-05	7.4505806e-08	0.8847809	0.2069364	0.591	0.0	137.17524695396423
115	0.27192983	0.4449539	1.0	0.0	8.72807	0.23024867	0.00027731623	0.23034866	0.22947663	116000	-7.366115e-05	0.1703584	-0.014431876	-6.195903e-05	0.53332704	0.04460957	0.0	15.0	138.3013072013855
116	0.33913043	0.4734142	1.0	0.0	8.66087	0.23810604	0.00027814996	0.23820676	0.23733473	117000	-0.058890477	0.19972937	-0.007649541	-0.003721252	0.66459304	-0.15458728	0.476	79.0	139.45799255371094
